 -43.82     69.92    -80.25    -84.76      0.52    -43.80    -54.95      2.04     28.49    -45.15      0.0   1.0
 -26.22    -73.75     17.32     33.05    -57.39    -80.82     28.29     79.58    -79.05     35.37      0.0   1.0
 -97.02    -67.82     10.71    -28.22    -79.26     64.01    -30.84    -89.18     17.24    -93.98      0.0   1.0
  75.59     10.87     -9.71     49.13    -93.43     16.76     94.46    -79.79    -82.23      2.62      0.0   1.0
   0.18     45.93    -19.57     27.16    -87.97     23.21    -59.49     -2.32     72.10     56.32      0.0   1.0
 -54.75    -68.48    -23.25     39.13    -41.26     34.09    -79.74    -70.52     81.14    -50.01      0.0   1.0
 -91.95    -39.00     59.56    -52.91    -89.45    -81.56     59.91     42.94     15.33     98.80      0.0   1.0
  23.32     22.35      8.79    -68.25    -88.52    -70.85      0.06    -20.93     66.42    -96.17      0.0   1.0
 -35.30    -36.83     13.28    -23.02    -53.18     71.67    -70.09    -23.22    -22.81    -30.01      0.0   1.0
 -22.03    -94.64     38.64     51.23    -76.35    -37.73     96.13    -92.77      6.62    -70.67      0.0   1.0
  38.28     49.73     15.46     70.84    -85.32     45.37    -47.34    -52.59     95.19     60.39      0.0   1.0
  42.77    -82.96      7.47    -64.32    -99.20     66.37     36.66      4.63    -69.93    -97.12      0.0   1.0
 -11.91     53.33     61.90    -80.50    -31.26    -77.96    -33.88     -2.28    -73.36    -40.31      0.0   1.0
 -58.86    -86.92    -44.91     53.71    -52.35    -66.54      7.92     56.07    -98.62     -2.56      0.0   1.0
 -91.77    -75.23    -84.32    -69.75    -68.09    -26.17    -49.31     45.03      5.35     19.58      0.0   1.0
 -79.02    -85.46    -33.00    -20.26     -5.13    -88.52    -66.83     86.05     31.80    -72.32      0.0   1.0
 -29.35     17.39     11.55    -99.91    -24.66      1.62    -32.63    -54.12     55.63    -24.27      0.0   1.0
 -60.69     84.68    -67.07     42.17    -90.03     62.27    -76.48    -61.54      5.57     31.95      0.0   1.0
  61.26    -82.88    -32.17     52.79    -69.37    -67.95      8.84     17.89    -80.39     86.81      0.0   1.0
 -41.06     69.84    -54.20    -89.84    -36.05    -76.94     41.21    -50.91     32.13     62.18      0.0   1.0
 -64.93    -43.05     59.42     29.19    -16.28    -61.53    -72.96     38.45    -71.42     53.31      0.0   1.0
  91.59    -78.28    -52.87      7.81    -43.69     68.28    -79.64     28.86     37.62     36.22      0.0   1.0
  24.71    -48.80    -86.57     70.44     26.25    -78.06    -67.90    -44.41     56.53    -78.59      0.0   1.0
 -49.41    -17.09    -72.10     59.41     63.75     94.62     -9.40    -89.05    -85.48    -90.10      0.0   1.0
  76.65    -10.02     11.89      7.53    -17.51     85.17     35.42    -82.50    -52.68      4.88      0.0   1.0
 -24.33     97.74    -58.03    -47.11      0.88    -29.43      4.09    -27.07      2.02     -3.90      0.0   1.0
  49.98    -96.27     25.97    -60.59    -21.44     47.50     17.06    -75.33     20.42     83.37      0.0   1.0
 -72.18     85.14     -6.36    -49.73    -28.74    -23.48     56.71    -69.48    -25.73     80.52      0.0   1.0
 -79.49    -87.48     61.03    -89.59     16.79    -70.77     64.95     74.98    -23.38    -90.44      0.0   1.0
