8.87	69.16	83.36	-4.93	14.22	-0.28	-0.6	39.27	-34.27	-57.37	1.0	0.0	
53.69	64.3	-15.31	-51.24	31.36	98.03	-30.59	81.68	84.57	80.43	1.0	0.0	
73.74	49.2	-85.38	-43.25	43.71	35.27	89.81	-18.74	-91.71	-72.82	1.0	0.0	
-47.3	81.18	57.72	6.76	89.28	78.57	23.54	-69.66	-46.84	86.25	1.0	0.0	
74.89	-82.29	23.51	15.01	-77.65	-49.15	58.57	64.92	83.66	19.37	1.0	0.0	
-24.05	57.64	45.39	-68.41	-48.19	-6.89	79.18	69.97	-77.44	-21.84	1.0	0.0	
-55.0	-67.26	-55.91	81.4	-97.87	80.83	-84.65	95.08	88.05	-86.12	1.0	0.0	
-78.29	73.44	-55.69	-54.23	38.11	18.02	37.31	-13.06	-87.37	-86.27	1.0	0.0	
49.31	58.95	-1.64	79.82	29.97	37.74	96.69	-10.96	-64.67	-13.41	1.0	0.0	
-76.85	-55.43	-91.08	97.57	84.19	94.13	-21.73	20.1	-52.11	-75.88	1.0	0.0	
-93.02	73.73	12.56	46.0	99.05	98.12	-56.68	62.29	91.51	-66.59	1.0	0.0	
-61.91	-25.91	85.82	93.37	-11.56	-80.05	47.7	17.77	-72.56	-81.43	1.0	0.0	
-6.82	85.39	51.52	21.35	16.93	61.28	-56.3	9.65	64.3	63.36	1.0	0.0	
29.01	-79.72	2.9	79.89	-57.96	31.45	83.91	-53.41	5.7	-42.33	1.0	0.0	
-45.67	-72.85	-4.18	-22.61	2.38	30.6	85.19	7.84	84.59	76.38	1.0	0.0	
-14.92	29.52	50.22	37.41	-40.31	-53.26	75.17	-30.03	61.4	-54.05	1.0	0.0	
39.51	-75.61	-51.06	0.5	-87.12	99.35	73.76	36.15	37.69	49.19	1.0	0.0	
-29.2	-67.33	-10.18	-2.36	56.92	39.44	63.29	92.92	-40.19	68.37	1.0	0.0	
50.56	-38.59	-49.05	26.62	96.86	30.74	-68.52	92.51	-65.04	90.07	1.0	0.0	
-91.23	-73.36	74.58	27.48	17.77	52.19	17.04	99.34	39.6	-28.07	1.0	0.0	
-22.55	-11.32	78.58	-91.82	46.04	-24.34	-1.82	94.16	-88.26	-87.23	1.0	0.0	
-5.52	0.33	-31.82	-4.16	97.09	100.0	-22.98	57.77	-89.78	25.88	1.0	0.0	
-77.23	23.51	90.98	91.27	20.72	31.5	-5.29	83.99	-66.11	85.78	1.0	0.0	
-89.77	45.53	60.88	1.0	85.67	-70.18	27.36	-12.99	-31.96	-58.06	1.0	0.0	
-34.29	-25.29	-95.94	-21.98	96.73	-64.46	-23.26	82.84	-61.28	-54.22	1.0	0.0	
93.35	73.35	81.6	29.58	-17.62	-29.73	77.17	-18.51	-54.83	62.18	1.0	0.0	
-11.74	65.07	63.65	-82.64	31.73	35.38	88.29	72.81	58.57	-83.42	1.0	0.0	
